Material Cost (R),Material Charges (R),Asset ID,Install Date,Asset MFG Date,In Service?,Model Number,Model Number MFG,Manufacturer ID
169.24,169.24,041175,11/4/2016,12/1/1998,TRUE,RENAISSANCE,1711,Stryker
0,0,130575,1/30/2019,12/1/1998,TRUE,COJACK-PLUS,COJACK-PLUS,
74.73,89.73,19521,11/18/2022,3/1/2015,TRUE,ZOOM,1125,Stryker
0,0,MX1600476,11/5/2019,,TRUE,1000,P1160B,HILL-ROM
0,0,MX1992916,7/6/2023,,TRUE,EVOLUTION,33060400,SIZEWISE
0,0,MX2054807,12/4/2020,12/10/2019,TRUE,CENTRELLA,P7900B100242,HILL-ROM
0,0,18017,9/16/2022,11/1/2013,TRUE,S3,3005,Stryker
0,0,EE145164,2/14/2024,,TRUE,Procuity,,Stryker
0,0,EE169373,7/24/2019,,TRUE,EVOLUTION,EVOLUTION,SIZEWISE
313,313,EE77042,3/11/2021,,TRUE,S3,3005,Stryker
157.88,157.88,101719,4/26/2018,,TRUE,TOTALCARE,P1840BCA000003,HILL-ROM
21.04,24.2,06105,11/6/2022,,TRUE,SECURE,3002,Stryker
91.49,91.49,130988,10/22/2019,10/1/2014,TRUE,ENTERPRISE,9800,Arjo
0,0,136904,1/29/2019,,TRUE,CENTRELLA,P7900B000010,HILL-ROM
42.31,42.31,041215,2/28/2017,12/1/1998,TRUE,RENAISSANCE,1711,Stryker
422.71,433.47,107123,10/25/2019,,TRUE,TRANSTAR,P8000,HILL-ROM
0,0,113058,11/16/2016,10/1/2011,TRUE,PRIME BIG WHEEL,1115,Stryker
0,0,EE73551,7/10/2019,,TRUE,TRANSTAR,P8000,HILL-ROM
0,0,MX2541554,5/26/2022,6/1/2021,TRUE,ZOOM,1125-000-000E,Stryker
0,0,130982,10/22/2019,10/1/2014,TRUE,ENTERPRISE,9800,Arjo
0,0,MX1666176,12/9/2019,11/1/2017,TRUE,S3 PATRIOT,3002S3,Stryker
0,0,MX1992929,7/6/2023,,TRUE,EVOLUTION,33060400,SIZEWISE
0,0,MX2051285,12/4/2020,12/6/2019,TRUE,CENTRELLA,P7900B100242,HILL-ROM
320.85,368.98,EE169777,7/24/2019,,TRUE,EVOLUTION,EVOLUTION,SIZEWISE
217.13,217.13,EE45662,10/22/2015,,TRUE,VERSACARE,P3200K000500,HILL-ROM
231.69,266.45,EE96424,5/14/2019,8/28/2009,TRUE,VERSACARE,P3200H000293,HILL-ROM
0,0,MX1600477,11/1/2019,,TRUE,VERSACARE,P3200,HILL-ROM
188.4,216.66,MX1645472,5/13/2019,9/21/2017,TRUE,VERSACARE,P3200K000122,HILL-ROM
