Asset ID,Install Date,WO Date,Work Order #,Material Cost,Material Charge,PO#,Model Number,Model Number MFG,Asset MFG Date,In Service?,Manufacturer Name
106349,11/17/2016,1/10/2018,11916,529.8,529.8,,CUB,FL19H,,TRUE,Stryker
125441,11/18/2016,1/17/2018,11946,24.77,24.77,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
00983B,11/21/2016,1/17/2018,11943,42.31,42.31,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
125436,11/16/2016,1/17/2018,11948,42.31,42.31,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
040928,11/15/2016,1/17/2018,11949,42.31,42.31,,RENAISSANCE,1211,12/1/1998,TRUE,Stryker
125502,11/16/2016,1/17/2018,11950,42.31,42.31,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
125434,11/4/2016,1/22/2018,11981,42.31,42.31,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
125469,11/4/2016,1/22/2018,11980,84.62,84.62,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
042002,11/3/2016,1/29/2018,12091,84.62,84.62,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
EE146961,2/2/2018,2/2/2018,12156,564.33,564.33,,SECURE S3,3005 S3 EX,2/1/2015,TRUE,Stryker
125423,11/30/2016,2/7/2018,12195,2.13,2.13,,M-SERIES,1015,6/1/2009,TRUE,Stryker
125423,11/30/2016,2/7/2018,12195,55.42,55.42,,M-SERIES,1015,6/1/2009,TRUE,Stryker
041124,11/1/2016,2/8/2018,12212,42.31,42.31,,Renaissance,1711,12/1/1998,TRUE,Stryker
125440,11/3/2016,2/8/2018,12200,84.62,84.62,,RENAISSANCE,1711,12/1/1998,TRUE,Stryker
125509,11/1/2016,2/9/2018,12217,84.62,84.62,,RENAISSANCE,1231,12/1/2002,TRUE,Stryker
EE45811,10/22/2015,2/21/2018,12279,60.38,60.38,,PROGRESSA,P7500A000131,9/30/2014,TRUE,Hill-Rom
EE45811,10/22/2015,2/21/2018,12279,182.06,182.06,,PROGRESSA,P7500A000131,9/30/2014,TRUE,Hill-Rom
125509,11/1/2016,3/2/2018,12376,84.62,84.62,,RENAISSANCE,1231,12/1/2002,TRUE,Stryker
EE94698PA,3/6/2018,3/6/2018,12388,107.22,107.22,,ULTRA CARE XT,UCXT,,TRUE,Joerns
